datetime,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,mavg,ret_dev
2012-11-14,20.1,22.5,19.93,22.36,22.36,229751000.0,0.0,1.0,22.935477000000002,0.1258811681772407
2012-11-15,22.34,22.5,21.65,22.17,22.17,78857700.0,0.0,1.0,22.826677,-0.008497316636851382
2012-11-16,22.25,23.93,22.18,23.5607,23.5607,107182200.0,0.0,1.0,22.741684,0.0627289129454216
2012-11-19,23.955,24.12,22.82,22.92,22.92,85021300.0,0.0,1.0,22.639884,-0.02719358932459559
2012-11-20,22.73,23.9,22.7,23.1,23.1,46655300.0,0.0,1.0,22.548584,0.007853403141361293
2012-11-21,23.22,24.53,23.05,24.32,24.32,89862400.0,0.0,1.0,22.478183999999995,0.05281385281385287
2012-11-23,24.58,24.68,23.88,23.998,23.998,29520900.0,0.0,1.0,22.407214,-0.013240131578947323
2012-11-26,24.935,26.09,24.81,25.94,25.94,123865000.0,0.0,1.0,22.358904,0.08092341028419026
2012-11-27,26.04,26.5,25.46,26.15,26.15,85760600.0,0.0,1.0,22.308404,0.00809560524286801
2012-11-28,25.94,26.49,25.75,26.36,26.36,49205600.0,0.0,1.0,22.257304000000005,0.008030592734225683
2012-11-29,26.5,27.52,26.16,27.32,27.32,88759700.0,0.0,1.0,22.213204,0.036418816388467334
2012-11-30,27.26,28.0,26.76,28.0,28.0,127049600.0,0.0,1.0,22.171504,0.02489019033674955
2012-12-03,27.9999,28.88,26.98,27.04,27.04,123526100.0,0.0,1.0,22.127203999999995,-0.034285714285714364
2012-12-04,27.06,27.76,26.68,27.46,27.46,72869200.0,0.0,1.0,22.092104,0.015532544378698221
2012-12-05,27.75,27.9,27.26,27.71,27.71,58976300.0,0.0,1.0,22.061104,0.009104151493080748
2012-12-06,27.68,27.75,26.82,26.97,26.97,46001500.0,0.0,1.0,22.023604,-0.026705160591844135
2012-12-07,27.07,27.78,26.84,27.485,27.485,51751900.0,0.0,1.0,22.016004,0.019095291064145314
2012-12-10,27.17,28.17,27.1,27.84,27.84,50608500.0,0.0,1.0,22.013503999999998,0.012916136074222262
2012-12-11,28.07,28.24,27.66,27.98,27.98,77099100.0,0.0,1.0,22.002204000000003,0.005028735632183867
2012-12-12,28.0,28.14,27.37,27.5801,27.5801,46704200.0,0.0,1.0,21.988005,-0.014292351679771276
2012-12-13,27.59,28.75,27.43,28.24,28.24,81051600.0,0.0,1.0,21.982805,0.023926671766962393
2012-12-14,28.18,28.33,26.76,26.812,26.812,91631600.0,0.0,1.0,21.963424999999997,-0.05056657223796024
2012-12-17,26.77,27.0,26.32,26.75,26.75,57742500.0,0.0,1.0,21.946424999999998,-0.002312397433984814
2012-12-18,26.96,27.91,26.9,27.71,27.71,60512900.0,0.0,1.0,21.930124999999997,0.035887850467289706
2012-12-19,27.83,28.22,26.95,27.41,27.41,61390300.0,0.0,1.0,21.935775000000003,-0.01082641645615301
2012-12-20,27.49,27.6,27.13,27.36,27.36,35574800.0,0.0,1.0,21.972324999999998,-0.0018241517694272957
2012-12-21,26.66,27.01,26.12,26.26,26.26,54555200.0,0.0,1.0,22.003425000000004,-0.04020467836257302
2012-12-24,26.5,26.96,26.2,26.93,26.93,28230100.0,0.0,1.0,22.055625,0.025514089870525503
2012-12-26,27.03,27.18,26.375,26.51,26.51,33175400.0,0.0,1.0,22.111925,-0.015595989602673499
2012-12-27,26.55,26.8,25.52,26.05,26.05,43481700.0,0.0,1.0,22.172024999999998,-0.01735194266314599
2012-12-28,25.48,26.11,25.15,25.9112,25.9112,56574800.0,0.0,1.0,22.220236999999997,-0.005328214971209166
